ASPEN 1SW,DOY,Low Temp Average Last Week,High Temp Average Last Week,Precipitation Average Last Week,Snow Average Last Week,Snow
12/19/03,353,31.83333333,7,0.116666667,1.583333333,0
12/20/03,354,33.33333333,7.833333333,0.116666667,1.583333333,0
12/21/03,355,34.83333333,9.166666667,0.116666667,1.583333333,0
12/22/03,356,36.28571429,11.14285714,0.1,1.357142857,3
12/23/03,357,35.85714286,12.14285714,0.042857143,0.5,0
12/24/03,358,38.28571429,13.14285714,0.028571429,0.428571429,0
12/25/03,359,39.71428571,14.14285714,0.028571429,0.428571429,0
12/26/03,360,39.57142857,13.57142857,0.028571429,0.428571429,0
12/27/03,361,39.42857143,14.28571429,0.028571429,0.428571429,1.5
12/28/03,362,38.71428571,13.57142857,0.057142857,0.642857143,2.5
12/29/03,363,34.85714286,9.857142857,0.071428571,1,0
12/30/03,364,31.14285714,6.857142857,0.042857143,0.571428571,1
12/31/03,365,29,6.428571429,0.057142857,0.714285714,1.6
1/2/04,2,27.33333333,6.833333333,0.1,1.1,4.6
1/3/04,3,28.66666667,7.833333333,0.141666667,1.866666667,10.3
1/4/04,4,27.83333333,8.666666667,0.235,3.333333333,6.4
1/6/04,6,32,12.6,0.328,4.78,0
1/7/04,7,31,9.6,0.308,4.58,0.1
1/8/04,8,30.2,7.8,0.27,4.28,0.1
1/9/04,9,31.66666667,9.333333333,0.226666667,3.583333333,0
1/10/04,10,30.5,6.5,0.185,2.816666667,0
1/11/04,11,33.16666667,5.5,0.058333333,1.1,0
1/12/04,12,36.33333333,6.666666667,0.003333333,0.033333333,0
1/13/04,13,37.28571429,7.285714286,0.002857143,0.028571429,0
1/14/04,14,40.71428571,10.28571429,0.002857143,0.028571429,0
1/15/04,15,42.71428571,11.57142857,0.001428571,0.014285714,0
1/16/04,16,42.85714286,11.28571429,0,0,0
1/17/04,17,42.71428571,12.42857143,0,0,0
1/18/04,18,41.57142857,12.71428571,0,0,0
1/20/04,20,40.16666667,12,0,0,0.5
1/21/04,21,39,12.66666667,0.008333333,0.083333333,0.7
1/22/04,22,37,11.33333333,0.016666667,0.2,0
1/23/04,23,36.16666667,9.333333333,0.016666667,0.2,0
1/24/04,24,35.83333333,7.5,0.016666667,0.2,0
1/25/04,25,36.33333333,7,0.016666667,0.2,0
1/26/04,26,36.66666667,7.666666667,0.016666667,0.2,3
1/27/04,27,35.28571429,5.428571429,0.061428571,0.6,0
1/30/04,30,33.4,3,0.066,0.6,0
1/31/04,31,33.8,5.4,0.066,0.6,0
2/1/04,32,34.2,7,0.066,0.6,4.5
2/2/04,33,32.4,6.2,0.138,1.5,2.5
2/3/04,34,32.4,9,0.094,1.4,0
2/4/04,35,35,11,0.094,1.4,2.5
2/5/04,36,34.83333333,11.66666667,0.106666667,1.583333333,5
2/6/04,37,33.85714286,11.85714286,0.132857143,2.071428571,0.5
2/7/04,38,32.14285714,9.571428571,0.135714286,2.142857143,0
2/8/04,39,29.85714286,6.571428571,0.135714286,2.142857143,3
2/9/04,40,30.85714286,7.142857143,0.097142857,1.928571429,0.1
2/10/04,41,30.85714286,7.142857143,0.082857143,1.585714286,0
2/11/04,42,30.57142857,6.285714286,0.082857143,1.585714286,0
2/12/04,43,30.42857143,4.142857143,0.058571429,1.228571429,1.3
2/13/04,44,29.71428571,1.428571429,0.037142857,0.7,0
2/14/04,45,29.14285714,-0.142857143,0.034285714,0.628571429,0
2/15/04,46,29.42857143,0,0.034285714,0.628571429,0
2/16/04,47,29.71428571,-1.571428571,0.021428571,0.2,0
2/17/04,48,31.57142857,-1.142857143,0.02,0.185714286,0
2/18/04,49,32.71428571,1.285714286,0.02,0.185714286,0
2/19/04,50,35.42857143,4.285714286,0.02,0.185714286,0
2/20/04,51,39.85714286,8.714285714,0,0,6.4
2/21/04,52,42.71428571,11.85714286,0.035714286,0.914285714,0
2/23/04,54,45.33333333,17.16666667,0.041666667,1.066666667,0
2/24/04,55,46,18.33333333,0.041666667,1.066666667,0
2/26/04,57,45.8,18.2,0.05,1.28,0
2/27/04,58,44,16.2,0.05,1.28,0
2/28/04,59,46.2,17.8,0,0,3
2/29/04,60,47.8,19.6,0.05,0.6,5.5
3/1/04,61,45.33333333,18,0.151666667,1.416666667,0.5
3/2/04,62,43,17.66666667,0.151666667,1.5,0
3/4/04,64,42,15.83333333,0.151666667,1.5,0
3/5/04,65,41.66666667,15.66666667,0.151666667,1.5,4.6
3/6/04,66,38.83333333,14,0.185,2.266666667,0
3/7/04,67,36,12,0.143333333,1.766666667,0
3/8/04,68,37.83333333,13.5,0.033333333,0.85,0
3/9/04,69,41.66666667,14.66666667,0.033333333,0.766666667,0
3/11/04,71,44.66666667,16.66666667,0.033333333,0.766666667,0
3/12/04,72,46.16666667,17.83333333,0.033333333,0.766666667,0
3/13/04,73,50,19.66666667,0,0,0
3/14/04,74,53.5,21.5,0,0,0
3/15/04,75,55,22.33333333,0,0,0.5
3/16/04,76,54.66666667,23.5,0,0.083333333,0
3/17/04,77,53.16666667,24,0,0.083333333,0
3/18/04,78,52.28571429,23.57142857,0,0.071428571,0
3/19/04,79,52.42857143,24.42857143,0,0.071428571,0
3/20/04,80,52,25.42857143,0,0.071428571,0
3/21/04,81,53.14285714,26.71428571,0,0.071428571,0
3/22/04,82,55.14285714,28.14285714,0,0.071428571,0
3/23/04,83,57.14285714,28.85714286,0,0,0
3/24/04,84,59.71428571,30.42857143,0,0,0.5
3/26/04,86,62.5,32.83333333,0.033333333,0.083333333,0
3/27/04,87,63.33333333,33.5,0.033333333,0.083333333,2.5
3/28/04,88,63.16666667,32.5,0.05,0.5,3
3/29/04,89,57.83333333,30.33333333,0.066666667,1,0
3/30/04,90,53.33333333,27.83333333,0.083333333,1,0
3/31/04,91,51.33333333,26.33333333,0.083333333,1,0
4/1/04,92,52.16666667,25.66666667,0.05,0.916666667,0
4/2/04,93,54,27,0.042857143,0.785714286,0
4/3/04,94,54.71428571,26.71428571,0.042857143,0.785714286,0
4/4/04,95,54,27.85714286,0.028571429,0.428571429,0
4/5/04,96,57.14285714,29,0.014285714,0,0
4/6/04,97,60.42857143,31.14285714,0.002857143,0,0
4/7/04,98,60,32,0.02,0,0
4/8/04,99,59,32.57142857,0.025714286,0,0
4/9/04,100,58.14285714,32.42857143,0.04,0,0.6
4/10/04,101,56.42857143,32.57142857,0.068571429,0.085714286,3.4
4/11/04,102,54.57142857,30.85714286,0.142857143,0.571428571,0
4/12/04,103,52,29.42857143,0.142857143,0.571428571,3.2
4/13/04,104,49.57142857,28,0.161428571,1.028571429,0
4/14/04,105,49.42857143,27.42857143,0.144285714,1.028571429,0
4/15/04,106,50,26.85714286,0.145714286,1.028571429,0
4/16/04,107,50,26.14285714,0.131428571,1.028571429,0
4/17/04,108,50.85714286,26.42857143,0.102857143,0.942857143,0
4/18/04,109,53.57142857,27,0.028571429,0.457142857,1.3
4/19/04,110,57.28571429,28.57142857,0.032857143,0.642857143,0
4/20/04,111,57.85714286,29,0.011428571,0.185714286,0
4/22/04,113,59,29.5,0.006666667,0.216666667,0.4
4/23/04,114,56.33333333,28.66666667,0.036666667,0.283333333,0.5
4/24/04,115,53.83333333,27.83333333,0.06,0.366666667,0
4/25/04,116,50.83333333,27.33333333,0.061666667,0.366666667,1.6
4/26/04,117,49.66666667,27.33333333,0.07,0.416666667,0
4/27/04,118,50.33333333,27.83333333,0.07,0.416666667,0
4/28/04,119,51.33333333,28.83333333,0.068333333,0.416666667,0
4/29/04,120,53.42857143,29.85714286,0.058571429,0.357142857,0
11/1/04,306,58.33333333,32.33333333,0.015,0.266666667,7.3
11/2/04,307,57.66666667,31,0.113333333,1.483333333,0
11/3/04,308,53,27,0.1,1.216666667,0
11/4/04,309,50.83333333,23.5,0.1,1.216666667,0
11/5/04,310,49,20.16666667,0.1,1.216666667,0
11/6/04,311,47.16666667,17.66666667,0.1,1.216666667,0
11/7/04,312,45.66666667,15.83333333,0.1,1.216666667,0
11/8/04,313,47.57142857,17.42857143,0.085714286,1.042857143,0
11/9/04,314,50.42857143,19.57142857,0,0,0.3
11/10/04,315,55.28571429,23.42857143,0.014285714,0.042857143,1.5
11/11/04,316,55.57142857,26.71428571,0.042857143,0.257142857,0
11/12/04,317,54.71428571,29,0.042857143,0.257142857,0
11/13/04,318,54,29.71428571,0.042857143,0.257142857,0
11/14/04,319,52.71428571,29.28571429,0.042857143,0.257142857,0
11/15/04,320,50.85714286,29.28571429,0.042857143,0.257142857,0
11/16/04,321,48.14285714,27.42857143,0.042857143,0.257142857,0
11/17/04,322,46.42857143,25.85714286,0.028571429,0.214285714,0
11/18/04,323,48.42857143,25.14285714,0,0,0
11/19/04,324,48.42857143,24.57142857,0,0,0
11/20/04,325,48.71428571,24.57142857,0,0,0
11/21/04,326,48.57142857,24.14285714,0,0,4.3
11/22/04,327,47.85714286,23.85714286,0.042857143,0.614285714,0
11/24/04,329,45.83333333,23.66666667,0.066666667,0.716666667,0
11/25/04,330,43.33333333,22.16666667,0.066666667,0.716666667,0
11/27/04,332,39.2,20.2,0.08,0.86,0.8
11/28/04,333,36.4,19,0.12,1.02,11.5
11/29/04,334,34,18.4,0.28,2.46,0.5
11/30/04,335,33.4,16.6,0.32,2.56,0
12/1/04,336,32.16666667,13.16666667,0.266666667,2.133333333,0
12/2/04,337,29.33333333,10.16666667,0.266666667,2.133333333,0
12/3/04,338,27.83333333,6.333333333,0.266666667,2.133333333,0
12/4/04,339,27.42857143,5.285714286,0.228571429,1.828571429,0
12/5/04,340,27.42857143,4,0.2,1.714285714,2
12/6/04,341,28.71428571,2.285714286,0.071428571,0.357142857,0
12/7/04,342,29.57142857,2.428571429,0.028571429,0.285714286,0.8
12/9/04,344,31.5,4.333333333,0.05,0.466666667,0.5
12/10/04,345,33.5,6.833333333,0.05,0.55,0
12/11/04,346,35.5,10.5,0.05,0.55,0
12/12/04,347,37.16666667,13.5,0.05,0.55,0
12/13/04,348,39,15.5,0.016666667,0.216666667,0
12/15/04,350,43.4,20.6,0,0.1,0.3
12/16/04,351,43.33333333,20,0,0.133333333,1.7
12/18/04,353,44.6,19.6,0.02,0.4,0
12/19/04,354,43.4,16.8,0.02,0.4,0
12/20/04,355,41.4,15,0.02,0.4,0
12/21/04,356,39.6,12.6,0.02,0.4,0
12/22/04,357,39.66666667,12.83333333,0.016666667,0.333333333,0
12/23/04,358,37.66666667,9.833333333,0.016666667,0.283333333,0
12/24/04,359,35.16666667,7.833333333,0,0,0
12/25/04,360,31.71428571,5.428571429,0,0,0
12/26/04,361,30,4.571428571,0,0,0
12/27/04,362,30.14285714,4.285714286,0,0,0
12/28/04,363,30.42857143,5.571428571,0,0,0
12/29/04,364,31,7.142857143,0,0,1.5
12/30/04,365,32.57142857,11,0.014285714,0.214285714,7
12/31/04,366,34.85714286,14.57142857,0.128571429,1.214285714,0
1/1/05,1,38.42857143,18.14285714,0.128571429,1.214285714,0.3
1/2/05,2,41,21.28571429,0.132857143,1.257142857,0
1/3/05,3,41.28571429,21,0.132857143,1.257142857,0
1/4/05,4,39.71428571,19.71428571,0.132857143,1.257142857,0.4
1/5/05,5,39.14285714,17.71428571,0.141428571,1.314285714,8
1/6/05,6,38.85714286,17,0.244285714,2.242857143,2
1/7/05,7,37.42857143,15.42857143,0.147142857,1.528571429,3
1/8/05,8,37.14285714,14,0.16,1.957142857,0
1/9/05,9,35.28571429,11,0.155714286,1.914285714,3.9
1/11/05,11,33.83333333,13.66666667,0.315,2.883333333,3.6
1/12/05,12,33.66666667,16.66666667,0.375,3.416666667,10.9
1/15/05,15,34,20.5,0.5425,4.6,0
1/16/05,16,36,21.75,0.5425,4.6,0
1/17/05,17,37.25,18.25,0.3425,3.625,0
1/18/05,18,37.8,19,0.274,2.9,0
1/19/05,19,38.4,15.6,0.19,2.18,0
1/20/05,20,39.2,15.2,0,0,0
1/21/05,21,41.33333333,17,0,0,0
1/22/05,22,42.57142857,17.71428571,0,0,0
1/23/05,23,44.85714286,19.14285714,0,0,0
1/24/05,24,46.71428571,20.28571429,0,0,0
1/25/05,25,47.85714286,19.42857143,0,0,0
1/26/05,26,48.71428571,20,0,0,0
1/27/05,27,49.42857143,18.57142857,0,0,0
1/28/05,28,47.71428571,16.57142857,0,0,2.5
1/29/05,29,47,17,0.024285714,0.357142857,0.5
1/30/05,30,45,16.42857143,0.028571429,0.428571429,0.8
1/31/05,31,43.28571429,16.14285714,0.035714286,0.542857143,2.8
2/1/05,32,41,16.28571429,0.061428571,0.942857143,2
2/2/05,33,38.71428571,16.14285714,0.08,1.228571429,0
2/3/05,34,37.57142857,15.28571429,0.08,1.228571429,0
2/4/05,35,36.71428571,14.14285714,0.08,1.228571429,0
2/5/05,36,36.42857143,11.85714286,0.055714286,0.871428571,0
2/6/05,37,37.14285714,11.28571429,0.051428571,0.8,0
2/7/05,38,37.85714286,11.14285714,0.044285714,0.685714286,0
2/8/05,39,39,11.28571429,0.018571429,0.285714286,3.8
2/9/05,40,39.42857143,11.71428571,0.024285714,0.542857143,0
2/10/05,41,38.71428571,11.28571429,0.024285714,0.542857143,0
2/11/05,42,39.14285714,11.28571429,0.024285714,0.542857143,0
2/12/05,43,38.85714286,11.14285714,0.024285714,0.542857143,0
2/13/05,44,38.28571429,12.14285714,0.024285714,0.542857143,1
2/14/05,45,37.85714286,13.71428571,0.048571429,0.685714286,0
2/15/05,46,38.57142857,14.28571429,0.048571429,0.685714286,0
2/16/05,47,39.71428571,15,0.024285714,0.142857143,3.5
2/17/05,48,40.42857143,17.42857143,0.067142857,0.642857143,4.2
2/20/05,51,39.6,19.4,0.17,1.74,2.2
2/21/05,52,39.8,17.6,0.17,1.98,3.8
2/22/05,53,38.8,17,0.244,2.74,0
2/24/05,55,39.75,15.75,0.23,2.55,0
2/25/05,56,41.5,17.5,0.135,1.5,0
2/26/05,57,41.6,16.6,0.108,1.2,1
2/27/05,58,41.66666667,16.16666667,0.098333333,1.166666667,2
2/28/05,59,41.5,15.33333333,0.095,1.133333333,0
3/2/05,61,41,14,0.04,0.6,2.5
3/3/05,62,41.16666667,14,0.063333333,0.916666667,0
3/4/05,63,41.66666667,14.16666667,0.063333333,0.916666667,0
3/5/05,64,42.33333333,14.5,0.063333333,0.916666667,0
3/6/05,65,42.33333333,15.16666667,0.055,0.75,0
3/7/05,66,43.83333333,17.66666667,0.03,0.416666667,0
3/9/05,68,45.16666667,18,0.03,0.416666667,0
3/10/05,69,45.5,18.66666667,0,0,0
3/11/05,70,46.66666667,20.5,0,0,0
3/12/05,71,47.16666667,21.5,0,0,0
3/13/05,72,48.5,22.33333333,0,0,0
3/14/05,73,49.16666667,21.5,0,0,0
3/15/05,74,46.83333333,20.5,0,0,0
3/16/05,75,44.85714286,19,0,0,0
3/17/05,76,43.57142857,17.14285714,0,0,0
3/18/05,77,42,16.28571429,0,0,1
3/19/05,78,41.14285714,16.14285714,0.007142857,0.142857143,0
3/20/05,79,39.85714286,15.42857143,0.007142857,0.142857143,3.3
3/21/05,80,39.14285714,15.42857143,0.047142857,0.614285714,0.3
3/22/05,81,39.42857143,16.28571429,0.048571429,0.657142857,0
3/23/05,82,41.57142857,17.71428571,0.048571429,0.657142857,4
3/24/05,83,43.14285714,20.14285714,0.105714286,1.228571429,2.5
3/26/05,85,43.5,20.33333333,0.148333333,1.683333333,4.7
3/27/05,86,44,21.16666667,0.196666667,2.466666667,0
3/28/05,87,44,21.5,0.15,1.916666667,0
3/29/05,88,46,22.5,0.148333333,1.866666667,0.5
3/30/05,89,47.33333333,24,0.161666667,1.95,0
4/2/05,92,47.4,24.4,0.074,1.04,0
4/3/05,93,48.4,22.2,0.016,0.1,0
4/4/05,94,50,23,0.016,0.1,0
4/5/05,95,52,24,0.016,0.1,4
4/6/05,96,51.8,23,0.08,0.8,0
4/7/05,97,52.2,22.8,0.08,0.8,0
4/8/05,98,52.83333333,22.83333333,0.066666667,0.666666667,0
4/9/05,99,54.28571429,24.14285714,0.057142857,0.571428571,0
4/10/05,100,54.85714286,25.57142857,0.06,0.571428571,0.7
4/12/05,102,53,24.5,0.153333333,0.783333333,0
4/13/05,103,51.33333333,24.16666667,0.086666667,0.116666667,0
4/14/05,104,53.5,25,0.086666667,0.116666667,0
4/15/05,105,54.33333333,26,0.086666667,0.116666667,0
4/16/05,106,54.33333333,25.5,0.086666667,0.116666667,0
4/17/05,107,56.33333333,27.16666667,0.083333333,0.116666667,0
4/18/05,108,59,28.5,0,0,0
4/19/05,109,59.85714286,28.85714286,0,0,0
4/20/05,110,62.28571429,30.28571429,0,0,0
4/21/05,111,63.57142857,30.71428571,0,0,1.5
4/22/05,112,63.14285714,29.71428571,0.021428571,0.214285714,0
4/23/05,113,60.71428571,29.28571429,0.021428571,0.214285714,0
4/24/05,114,59.57142857,28.57142857,0.021428571,0.214285714,0
4/25/05,115,60.14285714,26.42857143,0.025714286,0.214285714,3.5
4/26/05,116,57.42857143,26.57142857,0.122857143,0.714285714,0
4/27/05,117,55.71428571,25.85714286,0.122857143,0.714285714,0
4/28/05,118,54.28571429,26.57142857,0.122857143,0.714285714,1
4/29/05,119,53.85714286,27.85714286,0.151428571,0.642857143,3
4/30/05,120,54,28.42857143,0.185714286,1.071428571,0
11/1/05,305,52,28.14285714,0.197142857,1.071428571,0
11/2/05,306,48.57142857,28.71428571,0.192857143,1.071428571,0
11/3/05,307,49.42857143,28,0.095714286,0.571428571,0
11/4/05,308,51.28571429,28.57142857,0.095714286,0.571428571,0
11/5/05,309,50.71428571,28.57142857,0.095714286,0.571428571,6
11/6/05,310,50.57142857,28,0.107142857,1.285714286,0
11/7/05,311,49.42857143,27.28571429,0.072857143,0.857142857,0
11/8/05,312,48.85714286,27.28571429,0.061428571,0.857142857,0
11/9/05,313,51.57142857,27.71428571,0.061428571,0.857142857,0
11/10/05,314,53,28.28571429,0.061428571,0.857142857,0
11/11/05,315,52.57142857,28.85714286,0.061428571,0.857142857,0
11/12/05,316,54.42857143,28,0.061428571,0.857142857,1
11/13/05,317,55.28571429,28.71428571,0.041428571,0.142857143,2
11/14/05,318,55.85714286,28.42857143,0.065714286,0.428571429,6.5
11/15/05,319,55.71428571,29,0.125714286,1.357142857,4.5
11/16/05,320,52.14285714,26.57142857,0.188571429,2,0
11/17/05,321,47.14285714,23.14285714,0.188571429,2,0
11/18/05,322,43.71428571,21,0.188571429,2,1.2
11/19/05,323,39.71428571,18.57142857,0.208571429,2.171428571,0
11/20/05,324,36.71428571,15.42857143,0.167142857,2.028571429,0
11/21/05,325,36.14285714,14,0.142857143,1.742857143,0
11/22/05,326,36.57142857,11.85714286,0.082857143,0.814285714,0
11/23/05,327,37.71428571,12.57142857,0.02,0.171428571,0
11/24/05,328,41,14.28571429,0.02,0.171428571,0
11/26/05,330,43.66666667,14.33333333,0,0,0
11/27/05,331,44.83333333,15.83333333,0,0,6.5
11/28/05,332,43.66666667,16,0.07,1.083333333,0
11/29/05,333,40.5,15.33333333,0.071666667,1.083333333,0
11/30/05,334,36.5,13.33333333,0.071666667,1.083333333,1.3
12/1/05,335,33.16666667,11.5,0.085,1.3,1.5
12/2/05,336,29.83333333,10.5,0.105,1.55,0.5
12/3/05,337,30.42857143,12.42857143,0.097142857,1.4,8
12/4/05,338,29.71428571,13,0.198571429,2.542857143,5.5
12/5/05,339,28.85714286,12.14285714,0.184285714,2.4,1.5
12/6/05,340,28.14285714,10.14285714,0.2,2.614285714,0
12/7/05,341,26.28571429,8.857142857,0.2,2.614285714,2
12/8/05,342,24.71428571,7.714285714,0.208571429,2.714285714,0
12/9/05,343,22.85714286,5.714285714,0.191428571,2.5,0
12/10/05,344,20,0.142857143,0.184285714,2.428571429,0
12/11/05,345,18.42857143,-2.428571429,0.082857143,1.285714286,0
12/12/05,346,19.57142857,-2.571428571,0.037142857,0.5,0
12/13/05,347,22.42857143,-0.428571429,0.02,0.285714286,1
12/14/05,348,26.28571429,2.428571429,0.027142857,0.428571429,2.5
12/15/05,349,27.57142857,2.142857143,0.034285714,0.5,0
12/16/05,350,29,2.714285714,0.034285714,0.5,0
12/18/05,352,30.5,4.666666667,0.04,0.583333333,0
12/19/05,353,28.83333333,5.833333333,0.04,0.583333333,2.3
12/20/05,354,27.66666667,6.833333333,0.058333333,0.966666667,2.6
12/21/05,355,27.66666667,8,0.095,1.233333333,0
12/22/05,356,29.5,11.66666667,0.063333333,0.816666667,0
12/23/05,357,32.66666667,16,0.063333333,0.816666667,2
12/24/05,358,36.83333333,20.5,0.08,1.15,0
12/25/05,359,37.71428571,19.71428571,0.068571429,0.985714286,0
12/26/05,360,40.28571429,20,0.068571429,0.985714286,0
12/27/05,361,42.28571429,19.85714286,0.052857143,0.657142857,3
12/28/05,362,44,20,0.048571429,0.714285714,0
12/29/05,363,43.42857143,19.85714286,0.048571429,0.714285714,1.5
12/30/05,364,43.57142857,20,0.055714286,0.928571429,2
12/31/05,365,41.71428571,17.57142857,0.065714286,0.928571429,0.5
1/1/06,1,40.42857143,17.42857143,0.071428571,1,5
1/3/06,3,40.5,19.5,0.135,2,0.1
1/4/06,4,39.66666667,19.5,0.11,1.516666667,0.1
1/7/06,7,40,19.25,0.1275,1.425,0
1/8/06,8,43,20.75,0.1175,1.3,0
1/9/06,9,44.25,19.25,0.04,0.05,5.5
1/10/06,10,41.8,16.6,0.108,1.14,0
1/11/06,11,39.2,13.8,0.09,1.12,0
1/12/06,12,39.4,13.6,0.076,1.1,2
1/13/06,13,39.33333333,13.83333333,0.088333333,1.25,0
1/14/06,14,37.71428571,13.14285714,0.075714286,1.071428571,0
1/15/06,15,36.85714286,12,0.075714286,1.071428571,0
1/16/06,16,36.57142857,11.28571429,0.075714286,1.071428571,8
1/17/06,17,36.85714286,12.57142857,0.087142857,1.428571429,0
1/19/06,19,35.83333333,11.5,0.101666667,1.666666667,7
1/20/06,20,36.5,12.66666667,0.163333333,2.5,4
1/22/06,22,37.4,12.4,0.23,3.8,0
1/23/06,23,33.6,9.6,0.23,3.8,0
1/25/06,25,34.75,8,0.1725,2.75,0
1/27/06,27,32.5,3.5,0.0425,1,0
1/28/06,28,32.25,4,0,0,1.5
1/29/06,29,33.6,5.6,0.026,0.3,4
1/30/06,30,34,8,0.076,1.1,1
1/31/06,31,33.4,9.4,0.094,1.3,0
2/2/06,33,34.6,12.4,0.094,1.3,1.5
2/3/06,34,35.16666667,12.66666667,0.096666667,1.333333333,1
2/5/06,36,34.4,12.6,0.108,1.5,1
2/6/06,37,36.2,13.4,0.072,0.9,1
2/7/06,38,37,13,0.07,0.9,0
2/8/06,39,36.2,10.4,0.07,0.9,0
2/9/06,40,37.66666667,10,0.058333333,0.75,0
2/10/06,41,39,10.5,0.04,0.5,0
2/11/06,42,41.33333333,10.16666667,0.025,0.333333333,0
2/12/06,43,38.85714286,7.714285714,0.021428571,0.285714286,0
2/13/06,44,37.14285714,5.285714286,0.011428571,0.142857143,0
2/15/06,46,38.5,4.5,0,0,0
2/16/06,47,37.66666667,5.5,0,0,4.5
2/17/06,48,37.5,4.166666667,0.06,0.75,0
2/18/06,49,36.83333333,3,0.06,0.75,0
2/19/06,50,39,6.833333333,0.06,0.75,0.3
2/21/06,52,41.2,11.2,0.074,0.96,4.5
2/22/06,53,39.33333333,9.833333333,0.105,1.55,0.5
2/23/06,54,38.16666667,7.833333333,0.115,1.633333333,0
2/24/06,55,36.66666667,6.833333333,0.055,0.883333333,0
2/25/06,56,36.16666667,8.5,0.055,0.883333333,0
2/26/06,57,37.33333333,8,0.055,0.883333333,0
2/27/06,58,38.5,7.333333333,0.053333333,0.833333333,0
2/28/06,59,40.57142857,10,0.045714286,0.714285714,0
3/1/06,60,44.28571429,13.71428571,0.008571429,0.071428571,2
3/2/06,61,47.42857143,17.28571429,0.021428571,0.285714286,0
3/3/06,62,48.14285714,20,0.027142857,0.285714286,0
3/5/06,64,50.16666667,22,0.031666667,0.333333333,0
3/6/06,65,50.33333333,23.16666667,0.031666667,0.333333333,0
3/7/06,66,50.5,23.16666667,0.031666667,0.333333333,0
3/8/06,67,50.66666667,23.33333333,0.031666667,0.333333333,1.3
3/9/06,68,49.5,22.83333333,0.02,0.216666667,0
3/10/06,69,48.83333333,21.66666667,0.015,0.216666667,2
3/11/06,70,46.16666667,22.33333333,0.043333333,0.55,2.2
3/12/06,71,43.71428571,20.57142857,0.062857143,0.785714286,1
3/13/06,72,41.42857143,19.71428571,0.072857143,0.928571429,4
3/14/06,73,38.85714286,17.71428571,0.098571429,1.5,1.3
3/15/06,74,34,14,0.112857143,1.685714286,0
3/17/06,76,33,10.66666667,0.116666667,1.75,0
3/18/06,77,34.83333333,9.833333333,0.088333333,1.416666667,0
3/19/06,78,37.83333333,12.66666667,0.058333333,1.05,1
3/20/06,79,39.33333333,13.16666667,0.056666667,1.05,2.5
3/21/06,80,40.16666667,14.83333333,0.056666667,0.8,0
3/22/06,81,43,16.66666667,0.04,0.583333333,1.3
3/23/06,82,42.5,18.16666667,0.051666667,0.8,0.5
3/24/06,83,42.57142857,18,0.05,0.757142857,0
3/25/06,84,42.42857143,18.71428571,0.05,0.757142857,0
3/26/06,85,42.28571429,18.57142857,0.05,0.757142857,1.5
